encoding,code,clean_code,description,source
CIE-10,D60.1,D601,Congenital pure red cell aplasia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D60.8,D608,Other specified congenital anemias,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D60.9,D609,"Congenital anemia, unspecified",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D61.0,D610,Constitutional aplastic anemia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D61.1,D611,Drug-induced aplastic anemia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D61.2,D612,Aplastic anemia due to other external agents,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D61.3,D613,Idiopathic aplastic anemia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D61.8,D618,Other aplastic anemias,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D61.9,D619,"Aplastic anemia, unspecified",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D62.0,D620,Acute posthemorrhagic anemia,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D62.8,D628,Other specified anemias,https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
CIE-10,D62.9,D629,"Anemia, unspecified",https://eciemaps.mscbs.gob.es/ecieMaps/browser/metabuscador.html
